id;region;customer_lifetime_value;response;coverage;education;effective_to_date;month;employment_status;gender;income;location_code;marital_status;monthly_premium_auto;months_since_last_claim;months_since_policy_inception;number_of_open_complaints;number_of_policies;policy_type;policy;renew_offer_type;sales_channel;total_claim_amount;vehicle_class;vehicle_size
973;west region;2395;no;basic;doctor;27/01/11;jan;disabled;f;21986;suburban;divorced;63;1;9;0;1;personal auto;personal l3;offer2;branch;333;two-door car;medsize
974;east;2869;no;basic;bachelor;18/02/11;feb;employed;f;70974;suburban;married;71;15;0;0;1;personal auto;personal l3;offer1;agent;340;four-door car;large
975;west region;25390;no;extended;high school or below;17/02/11;feb;disabled;f;19359;suburban;married;129;0;62;0;2;personal auto;personal l3;offer4;call center;928;sports car;medsize
976;north west;7343;no;basic;college;15/02/11;feb;unemployed;f;40144;suburban;single;72;26;12;3;2;personal auto;personal l3;offer1;branch;345;four-door car;medsize
977;central;4344;no;basic;bachelor;25/02/11;feb;employed;f;48054;suburban;married;109;24;64;0;1;personal auto;personal l1;offer1;call center;523;suv;medsize
978;west region;5344;no;basic;master;11/02/11;feb;employed;m;22908;suburban;married;68;30;19;0;7;personal auto;personal l2;offer3;call center;387;suv;small
979;north west;4744;no;basic;doctor;19/02/11;feb;employed;m;20698;urban;single;68;0;72;0;5;personal auto;personal l3;offer4;branch;248;two-door car;medsize
980;central;2840;no;basic;bachelor;27/02/11;feb;employed;m;79181;urban;divorced;72;1;24;0;1;personal auto;personal l3;offer2;branch;241;four-door car;medsize
981;north west;6104;no;extended;college;28/02/11;feb;disabled;f;18690;rural;married;80;10;63;0;5;personal auto;personal l2;offer1;agent;18;four-door car;medsize
982;north west;2805;no;basic;high school or below;29/01/11;jan;employed;f;26004;suburban;married;70;12;3;0;1;personal auto;personal l3;offer3;web;336;four-door car;medsize
983;central;4838;no;basic;bachelor;23/01/11;jan;employed;f;73769;urban;married;61;24;95;2;3;personal auto;personal l3;offer4;web;239;four-door car;medsize
984;central;2821;no;basic;college;06/01/11;jan;employed;f;38977;rural;married;70;27;22;0;1;special auto;special l2;offer1;agent;139;four-door car;medsize
985;central;2152;no;basic;bachelor;26/02/11;feb;unemployed;m;29456;suburban;single;65;8;50;0;1;personal auto;personal l2;offer2;agent;460;two-door car;medsize
986;north west;4082;no;basic;bachelor;13/02/11;feb;medical leave;f;23206;suburban;married;107;31;60;0;1;personal auto;personal l3;offer1;call center;513;sports car;large
987;west region;2965;no;basic;college;11/02/11;feb;employed;f;26472;suburban;married;74;22;31;0;1;personal auto;personal l1;offer2;branch;355;four-door car;medsize
988;west region;6081;no;extended;college;31/01/11;jan;unemployed;f;34594;suburban;single;82;26;33;0;3;personal auto;personal l3;offer2;web;393;four-door car;medsize
989;north west;26843;no;extended;college;16/01/11;jan;employed;f;36068;rural;married;97;0;10;0;2;personal auto;personal l3;offer2;branch;113;two-door car;medsize
990;north west;5678;yes;extended;bachelor;19/01/11;jan;unemployed;f;49870;suburban;married;76;8;44;0;3;personal auto;personal l1;offer2;agent;364;four-door car;small
991;east;3355;no;extended;college;26/01/11;jan;employed;f;46644;rural;married;84;34;19;0;1;personal auto;personal l2;offer3;agent;150;four-door car;medsize
992;north west;4376;yes;premium;bachelor;28/02/11;feb;employed;f;63774;rural;divorced;111;18;63;0;1;personal auto;personal l3;offer2;agent;60;suv;medsize
993;north west;10972;yes;extended;doctor;18/01/11;jan;employed;m;24164;suburban;divorced;137;2;40;0;5;personal auto;personal l3;offer2;agent;657;sports car;medsize
994;north west;6677;no;extended;college;22/02/11;feb;unemployed;m;87599;urban;married;97;10;77;1;9;personal auto;personal l3;offer3;call center;251;two-door car;medsize
995;east;2624;no;basic;high school or below;27/01/11;jan;medical leave;m;18129;suburban;divorced;71;23;59;0;1;personal auto;personal l2;offer3;call center;340;two-door car;large
996;west region;9052;no;basic;master;08/02/11;feb;medical leave;f;10211;suburban;divorced;119;7;16;0;7;personal auto;personal l2;offer3;branch;571;suv;medsize
997;north west;6112;no;extended;bachelor;19/02/11;feb;employed;m;63243;urban;married;77;21;73;0;3;personal auto;personal l3;offer4;call center;364;four-door car;large
998;north west;10777;no;extended;college;10/01/11;jan;employed;m;53437;suburban;married;91;2;87;0;2;personal auto;personal l1;offer3;branch;436;two-door car;medsize
999;north west;8489;no;extended;bachelor;27/01/11;jan;unemployed;m;46121;suburban;single;130;3;46;0;3;personal auto;personal l3;offer2;agent;624;sports car;medsize
1000;west region;5055;no;basic;bachelor;10/01/11;jan;employed;f;88989;urban;married;63;19;28;1;3;personal auto;personal l3;offer3;call center;232;four-door car;small
1001;east;25997;no;basic;high school or below;20/02/11;feb;employed;f;62262;urban;married;72;17;2;0;2;corporate auto;corporate l3;offer4;branch;193;four-door car;small
1002;central;10839;no;extended;college;09/01/11;jan;medical leave;f;26367;rural;married;139;7;26;0;3;personal auto;personal l2;offer1;branch;105;suv;small
1003;north west;6044;no;basic;high school or below;20/01/11;jan;employed;f;93715;suburban;married;74;12;88;0;7;personal auto;personal l3;offer4;web;532;four-door car;small
1004;north west;5447;no;basic;college;18/02/11;feb;employed;f;68815;rural;married;68;29;37;0;3;personal auto;personal l2;offer4;branch;114;four-door car;small
1005;west region;2241;no;basic;high school or below;06/02/11;feb;unemployed;f;25294;suburban;single;63;5;7;0;1;personal auto;personal l2;offer2;call center;453;two-door car;medsize
1006;west region;8061;no;basic;college;11/02/11;feb;employed;m;57293;urban;married;102;25;87;0;7;corporate auto;corporate l3;offer1;agent;347;sports car;medsize
1007;central;12866;no;basic;high school or below;08/02/11;feb;unemployed;m;36201;suburban;single;189;24;93;0;6;personal auto;personal l3;offer1;agent;1415;luxury car;small
1008;west region;5479;yes;basic;master;13/01/11;jan;employed;m;56005;suburban;married;68;31;30;1;3;personal auto;personal l2;offer1;branch;326;four-door car;small
1009;central;9366;no;extended;high school or below;06/01/11;jan;employed;m;60613;suburban;single;240;3;52;0;1;personal auto;personal l1;offer4;call center;1152;luxury car;small
1010;west region;3436;yes;extended;doctor;18/02/11;feb;employed;m;30817;rural;divorced;88;25;43;0;1;personal auto;personal l3;offer2;branch;91;four-door car;medsize
1011;west region;8336;no;basic;bachelor;16/02/11;feb;unemployed;m;97599;suburban;single;67;10;50;2;2;personal auto;personal l3;offer3;agent;445;two-door car;medsize
1012;west region;13080;no;extended;college;14/02/11;feb;unemployed;m;59241;suburban;divorced;124;12;58;0;2;special auto;special l2;offer1;web;595;suv;small
1013;north west;12734;no;extended;bachelor;07/01/11;jan;employed;m;25023;suburban;single;82;31;38;0;2;corporate auto;corporate l3;offer1;branch;397;two-door car;medsize
1014;central;9555;no;premium;college;02/01/11;jan;employed;f;96269;rural;divorced;118;2;52;0;8;personal auto;personal l2;offer2;web;58;four-door car;medsize
1015;central;6488;no;extended;bachelor;17/02/11;feb;employed;f;95025;urban;divorced;81;15;12;0;8;personal auto;personal l3;offer2;call center;271;four-door car;medsize
1016;central;8436;no;basic;bachelor;16/01/11;jan;employed;f;49182;rural;married;70;6;86;0;2;personal auto;personal l3;offer1;web;165;two-door car;medsize
1017;central;2722;no;basic;college;02/02/11;feb;medical leave;f;17576;suburban;married;71;29;70;0;1;personal auto;personal l3;offer2;call center;398;four-door car;medsize
1018;north west;2787;no;basic;college;01/01/11;jan;employed;f;62506;suburban;married;69;2;90;0;1;personal auto;personal l1;offer1;branch;331;two-door car;large
1019;west region;31864;no;extended;doctor;08/02/11;feb;employed;m;23576;urban;married;89;8;72;0;2;personal auto;personal l3;offer2;web;383;four-door car;medsize
1020;central;33473;yes;basic;bachelor;11/01/11;jan;employed;f;33190;suburban;divorced;106;18;95;0;2;personal auto;personal l3;offer1;web;508;suv;medsize
1021;west region;4250;yes;basic;high school or below;18/01/11;jan;unemployed;f;79311;suburban;single;61;17;1;1;7;personal auto;personal l3;offer1;agent;292;four-door car;small
1022;north west;16515;no;extended;high school or below;01/02/11;feb;employed;f;51725;rural;married;138;9;16;1;2;personal auto;personal l3;offer1;agent;159;suv;medsize
1023;central;13770;yes;premium;high school or below;01/02/11;feb;employed;f;59207;suburban;single;116;23;21;0;2;personal auto;personal l3;offer1;agent;556;four-door car;medsize
1024;central;2356;no;basic;bachelor;19/01/11;jan;unemployed;m;87666;suburban;single;69;22;11;0;1;personal auto;personal l2;offer2;call center;496;two-door car;small
1025;west region;7933;no;basic;college;13/01/11;jan;employed;f;76505;rural;married;65;32;89;0;2;personal auto;personal l3;offer1;branch;144;four-door car;medsize
1026;central;5569;no;basic;high school or below;15/02/11;feb;employed;m;53565;suburban;married;71;15;34;0;6;personal auto;personal l3;offer1;agent;340;four-door car;small
1027;north west;1940;no;basic;high school or below;07/02/11;feb;unemployed;m;21344;suburban;single;66;5;40;3;1;personal auto;personal l3;offer3;call center;475;two-door car;large
1028;central;6715;no;extended;high school or below;25/02/11;feb;retired;m;21835;suburban;married;90;16;78;2;7;corporate auto;corporate l2;offer1;agent;432;two-door car;medsize
1029;central;5548;yes;basic;bachelor;13/01/11;jan;employed;m;67798;suburban;divorced;69;1;78;0;9;personal auto;personal l1;offer1;agent;331;four-door car;medsize
1030;west region;5332;no;basic;high school or below;03/01/11;jan;employed;m;74837;suburban;married;66;9;18;0;7;personal auto;personal l3;offer2;agent;376;four-door car;large
1031;central;8341;no;basic;bachelor;18/02/11;feb;employed;m;30344;urban;divorced;107;29;79;0;9;personal auto;personal l3;offer1;branch;342;suv;medsize
1032;west region;5936;no;basic;doctor;03/01/11;jan;employed;f;42889;rural;married;74;31;18;0;7;personal auto;personal l1;offer1;agent;177;four-door car;small
1033;north west;5213;no;extended;high school or below;13/02/11;feb;employed;m;65167;suburban;married;131;22;85;0;1;personal auto;personal l2;offer2;call center;628;suv;medsize
1034;west region;7706;no;basic;doctor;13/02/11;feb;employed;f;48019;rural;married;64;15;94;0;2;corporate auto;corporate l3;offer1;agent;137;four-door car;medsize
1035;central;7452;no;basic;college;21/01/11;jan;unemployed;m;32159;suburban;married;68;14;46;0;2;corporate auto;corporate l1;offer1;branch;489;two-door car;medsize
1036;north west;5924;no;basic;high school or below;18/01/11;jan;employed;m;78387;urban;married;74;5;1;0;6;corporate auto;corporate l3;offer2;agent;204;four-door car;medsize
1037;north west;3032;no;extended;bachelor;31/01/11;jan;employed;m;73782;rural;married;76;11;97;0;1;special auto;special l3;offer2;branch;111;four-door car;large
1038;west region;3694;no;basic;bachelor;20/02/11;feb;unemployed;m;62832;suburban;married;102;13;84;0;1;personal auto;personal l2;offer3;call center;610;suv;large
1039;west region;3122;no;extended;college;01/01/11;jan;employed;m;72916;suburban;single;80;25;72;0;1;personal auto;personal l3;offer2;web;384;two-door car;medsize
1040;east;4362;yes;premium;college;03/01/11;jan;employed;m;58842;suburban;married;110;6;74;0;1;corporate auto;corporate l1;offer2;branch;528;four-door car;medsize
1041;east;5553;no;extended;college;09/01/11;jan;unemployed;f;39238;suburban;single;92;14;64;0;9;personal auto;personal l3;offer1;branch;662;four-door car;medsize
1042;west region;2566;no;basic;high school or below;09/02/11;feb;employed;f;21375;suburban;married;65;14;66;0;1;corporate auto;corporate l3;offer3;call center;312;four-door car;large
1043;north west;2435;no;basic;college;07/01/11;jan;employed;m;32931;suburban;married;62;16;45;0;1;personal auto;personal l2;offer2;agent;297;four-door car;medsize
1044;west region;2849;no;basic;master;16/02/11;feb;employed;m;63326;suburban;divorced;72;2;34;0;1;personal auto;personal l2;offer2;call center;361;four-door car;medsize
1045;north west;26346;no;extended;high school or below;20/01/11;jan;employed;m;48268;suburban;divorced;223;28;26;0;2;personal auto;personal l2;offer1;web;1605;four-door car;small
1046;central;4881;no;basic;master;21/02/11;feb;employed;f;37998;suburban;married;61;26;27;0;7;special auto;special l3;offer2;call center;292;four-door car;medsize
1047;north west;2497;no;basic;bachelor;12/02/11;feb;employed;m;24825;rural;married;64;34;44;0;1;personal auto;personal l3;offer2;branch;155;two-door car;medsize
1048;central;2476;no;basic;master;12/01/11;jan;employed;f;54831;rural;married;61;20;45;1;1;personal auto;personal l3;offer3;agent;136;four-door car;medsize
1049;north west;6661;no;extended;bachelor;07/01/11;jan;unemployed;m;54863;suburban;married;95;6;99;0;5;personal auto;personal l3;offer4;agent;456;four-door car;medsize
1050;west region;2549;no;basic;college;18/02/11;feb;employed;m;52980;urban;married;64;33;93;0;1;personal auto;personal l2;offer1;branch;191;four-door car;large
1051;west region;7405;no;basic;bachelor;09/01/11;jan;disabled;f;22044;rural;divorced;65;35;70;0;2;corporate auto;corporate l1;offer1;agent;10;four-door car;large
1052;north west;4601;no;basic;master;27/01/11;jan;employed;m;84394;suburban;married;114;9;38;0;1;personal auto;personal l3;offer4;agent;691;suv;medsize
1053;central;20120;no;extended;bachelor;11/01/11;jan;employed;m;32869;rural;married;85;4;49;0;2;corporate auto;corporate l2;offer1;web;117;two-door car;large
1054;north west;5903;no;basic;college;09/01/11;jan;employed;f;55393;rural;married;74;15;6;1;3;corporate auto;corporate l2;offer1;call center;2;four-door car;medsize
1055;east;2584;no;basic;high school or below;04/01/11;jan;employed;f;22562;suburban;married;65;4;81;0;1;personal auto;personal l3;offer1;branch;312;two-door car;medsize
1056;north west;23331;no;basic;bachelor;02/01/11;jan;employed;m;44719;suburban;single;66;6;55;0;2;personal auto;personal l2;offer2;branch;316;four-door car;medsize
1057;central;2867;no;basic;college;15/02/11;feb;employed;f;91810;rural;married;71;31;43;0;1;corporate auto;corporate l2;offer3;web;165;four-door car;medsize
1058;north west;4330;yes;premium;college;16/02/11;feb;employed;m;60475;suburban;married;107;9;18;0;1;personal auto;personal l1;offer2;branch;513;four-door car;medsize
1059;west region;10517;no;extended;college;18/01/11;jan;employed;f;46707;rural;married;133;9;9;0;8;personal auto;personal l2;offer3;branch;80;sports car;medsize
1060;central;5544;no;basic;high school or below;05/02/11;feb;employed;m;79619;urban;married;71;3;34;3;6;personal auto;personal l3;offer2;web;280;four-door car;large
1061;north west;5876;no;basic;college;09/02/11;feb;employed;f;32848;urban;married;74;2;59;0;5;personal auto;personal l2;offer3;call center;250;four-door car;medsize
1062;west region;2759;no;basic;college;09/01/11;jan;employed;m;64388;suburban;married;69;12;51;0;1;personal auto;personal l3;offer1;agent;331;two-door car;small
1063;west region;26197;yes;basic;high school or below;15/01/11;jan;disabled;f;18495;suburban;married;113;10;15;0;2;personal auto;personal l3;offer1;branch;542;suv;large
1064;central;42561;no;basic;master;10/01/11;jan;employed;m;66661;suburban;single;119;23;41;0;2;personal auto;personal l2;offer1;agent;571;suv;medsize
1065;central;5157;no;basic;college;08/02/11;feb;employed;m;43906;suburban;divorced;65;6;53;0;6;personal auto;personal l1;offer1;web;468;two-door car;small
1066;west region;5192;no;basic;bachelor;19/01/11;jan;employed;f;23059;suburban;married;66;33;55;4;3;personal auto;personal l3;offer2;web;372;two-door car;medsize
1067;central;3208;no;extended;master;08/02/11;feb;employed;f;40135;rural;married;80;29;70;0;1;personal auto;personal l2;offer1;agent;78;four-door car;medsize
1068;east;6921;no;extended;college;04/02/11;feb;medical leave;f;16483;urban;married;90;14;68;0;9;corporate auto;corporate l2;offer3;web;320;two-door car;medsize
1069;east;13350;no;premium;college;11/01/11;jan;employed;f;28919;suburban;single;173;5;88;0;3;personal auto;personal l2;offer3;agent;830;suv;medsize
1070;north west;11274;no;premium;college;11/02/11;feb;unemployed;m;51947;suburban;single;114;22;39;0;2;personal auto;personal l3;offer1;branch;820;four-door car;small
1071;north west;7285;yes;basic;high school or below;28/02/11;feb;employed;m;44788;suburban;married;61;6;48;0;2;personal auto;personal l3;offer2;agent;386;four-door car;small
1072;central;13918;no;premium;high school or below;08/01/11;jan;employed;m;64113;suburban;divorced;117;24;32;0;2;special auto;special l3;offer1;agent;561;four-door car;medsize
1073;central;9048;yes;basic;high school or below;24/01/11;jan;unemployed;m;56073;suburban;married;119;9;8;0;3;personal auto;personal l1;offer2;web;571;sports car;medsize
1074;north west;2453;yes;basic;bachelor;09/02/11;feb;medical leave;m;29735;suburban;single;69;3;92;0;1;personal auto;personal l2;offer1;agent;331;four-door car;medsize
1075;central;4387;no;basic;master;24/02/11;feb;employed;m;48015;suburban;married;110;26;57;1;1;corporate auto;corporate l2;offer4;call center;528;sports car;medsize
1076;central;7142;no;premium;college;04/01/11;jan;medical leave;f;24417;suburban;divorced;185;22;25;0;1;personal auto;personal l3;offer1;call center;888;suv;medsize
1077;central;5340;no;basic;college;17/01/11;jan;unemployed;f;39541;suburban;married;72;1;73;0;6;personal auto;personal l3;offer2;web;345;luxury suv;small
1078;central;29091;no;extended;bachelor;18/02/11;feb;employed;f;34226;rural;married;244;2;22;0;2;personal auto;personal l3;offer1;agent;494;luxury suv;small
1079;north west;2893;no;basic;bachelor;15/02/11;feb;employed;f;30406;suburban;married;73;31;93;1;1;personal auto;personal l3;offer1;web;350;four-door car;medsize
1080;north west;9672;no;extended;high school or below;23/02/11;feb;unemployed;m;87158;suburban;single;96;5;27;0;2;corporate auto;corporate l3;offer1;agent;1120;four-door car;medsize
1081;east;3403;no;extended;college;24/02/11;feb;employed;m;38460;rural;divorced;88;15;1;1;1;personal auto;personal l3;offer1;agent;91;four-door car;medsize
1082;central;4019;no;basic;college;18/02/11;feb;unemployed;m;32318;suburban;divorced;118;2;48;0;1;personal auto;personal l1;offer1;branch;566;suv;large
1083;north west;12168;yes;basic;bachelor;05/02/11;feb;retired;m;14973;suburban;divorced;115;2;75;0;2;personal auto;personal l3;offer1;branch;828;suv;medsize
1084;central;10571;no;basic;bachelor;12/02/11;feb;employed;f;94137;rural;married;65;16;27;0;2;personal auto;personal l2;offer2;web;43;four-door car;medsize
1085;east;4935;no;basic;high school or below;15/02/11;feb;employed;m;29560;suburban;married;62;21;89;0;7;personal auto;personal l3;offer1;agent;297;four-door car;medsize
1086;north west;11323;no;extended;master;18/02/11;feb;employed;m;98254;rural;married;94;23;11;3;2;corporate auto;corporate l3;offer3;agent;229;four-door car;medsize
1087;west region;4576;no;premium;master;08/01/11;jan;employed;f;48569;urban;married;114;0;14;0;1;personal auto;personal l3;offer1;agent;434;four-door car;medsize
1088;central;4175;no;basic;bachelor;21/02/11;feb;employed;m;23060;suburban;married;109;13;25;3;1;corporate auto;corporate l3;offer4;agent;731;suv;medsize
1089;north west;13235;no;basic;college;24/02/11;feb;employed;m;39778;suburban;married;112;23;49;0;2;personal auto;personal l3;offer1;call center;806;suv;medsize
1090;west region;2585;no;basic;college;24/01/11;jan;employed;f;83758;rural;married;64;27;34;0;1;corporate auto;corporate l1;offer2;agent;106;two-door car;medsize
1091;north west;3435;no;extended;bachelor;14/01/11;jan;employed;f;64348;rural;married;86;25;18;0;1;personal auto;personal l2;offer2;call center;212;two-door car;medsize
1092;west region;8376;no;basic;college;01/01/11;jan;employed;f;26448;rural;married;105;7;42;0;3;personal auto;personal l3;offer3;agent;75;sports car;medsize
1093;north west;4510;no;basic;college;25/02/11;feb;employed;m;44230;suburban;married;114;2;45;0;1;personal auto;personal l3;offer4;web;738;sports car;medsize
1094;central;35022;no;extended;bachelor;22/02/11;feb;employed;f;25270;suburban;married;99;34;87;0;2;personal auto;personal l2;offer2;agent;712;two-door car;small
1095;west region;7986;no;basic;bachelor;19/01/11;jan;employed;m;74217;urban;married;100;18;3;0;6;personal auto;personal l1;offer2;branch;418;suv;large
1096;north west;7716;no;extended;college;21/01/11;jan;employed;f;37376;rural;single;99;34;52;0;3;personal auto;personal l3;offer1;branch;65;four-door car;medsize
1097;north west;2731;no;basic;master;21/02/11;feb;employed;f;43386;urban;married;68;1;79;0;1;personal auto;personal l2;offer3;call center;315;two-door car;medsize
1098;central;3694;no;extended;bachelor;03/02/11;feb;employed;m;96170;suburban;married;92;8;86;0;1;personal auto;personal l1;offer2;call center;441;four-door car;large
1099;north west;5261;no;basic;high school or below;11/01/11;jan;employed;f;43573;suburban;married;66;30;64;0;5;personal auto;personal l3;offer1;agent;409;two-door car;large
1100;north west;9486;no;extended;bachelor;20/01/11;jan;employed;f;42240;rural;married;79;25;10;0;2;personal auto;personal l3;offer3;agent;46;four-door car;medsize
1101;north west;3687;no;extended;master;10/01/11;jan;unemployed;f;87165;urban;married;99;5;68;1;1;corporate auto;corporate l2;offer1;agent;378;four-door car;medsize
1102;west region;4373;no;premium;college;06/01/11;jan;disabled;f;25676;suburban;married;113;6;84;0;1;personal auto;personal l3;offer3;web;542;two-door car;medsize
1103;central;23747;no;extended;college;25/02/11;feb;unemployed;m;52259;suburban;single;96;29;22;4;2;personal auto;personal l3;offer3;agent;460;four-door car;medsize
1104;central;3618;no;extended;high school or below;14/02/11;feb;employed;m;50755;suburban;married;91;21;25;0;1;personal auto;personal l3;offer4;agent;436;two-door car;medsize
1105;west region;30205;no;extended;college;17/02/11;feb;unemployed;m;86389;suburban;married;89;7;4;0;2;personal auto;personal l2;offer3;agent;469;four-door car;medsize
1106;west region;5583;no;extended;college;17/02/11;feb;employed;m;76927;rural;married;138;2;46;0;1;personal auto;personal l3;offer4;branch;114;suv;medsize
1107;north west;4841;no;basic;college;05/02/11;feb;employed;f;23449;suburban;married;61;33;2;0;8;corporate auto;corporate l3;offer2;web;292;four-door car;medsize
1108;west region;5461;no;basic;high school or below;07/01/11;jan;employed;f;39626;suburban;married;69;23;0;0;3;personal auto;personal l3;offer2;agent;485;four-door car;medsize
1109;central;8838;yes;basic;bachelor;21/01/11;jan;employed;m;82664;rural;married;114;24;10;3;9;corporate auto;corporate l3;offer2;agent;133;suv;medsize
1110;west region;5586;no;basic;doctor;21/01/11;jan;employed;f;94161;rural;married;69;0;65;0;4;personal auto;personal l3;offer2;agent;108;four-door car;medsize
1111;central;7840;no;extended;college;14/01/11;jan;employed;m;58414;suburban;single;210;7;24;2;1;personal auto;personal l3;offer2;agent;1008;luxury suv;small
1112;north west;6685;no;extended;doctor;20/02/11;feb;employed;m;56270;suburban;married;83;23;2;0;4;personal auto;personal l2;offer2;branch;398;four-door car;medsize
1113;north west;2682;no;basic;bachelor;20/01/11;jan;unemployed;m;61977;suburban;single;74;24;33;0;1;corporate auto;corporate l3;offer1;agent;355;two-door car;small
1114;west region;2272;no;basic;master;24/01/11;jan;unemployed;m;11140;urban;single;64;35;59;0;1;corporate auto;corporate l3;offer3;agent;286;four-door car;medsize
1115;north west;2839;no;extended;bachelor;21/01/11;jan;unemployed;m;30546;suburban;married;81;22;26;0;1;personal auto;personal l2;offer3;branch;388;two-door car;large
1116;east;5029;no;basic;bachelor;19/01/11;jan;employed;m;40113;urban;divorced;67;2;43;3;5;corporate auto;corporate l2;offer1;branch;262;two-door car;medsize
1117;west region;13432;no;basic;bachelor;15/01/11;jan;employed;f;68956;rural;single;118;12;8;2;2;personal auto;personal l3;offer3;call center;118;suv;medsize
1118;west region;7879;no;extended;doctor;10/01/11;jan;employed;f;45703;suburban;married;98;17;36;0;9;personal auto;personal l1;offer4;agent;470;two-door car;small
1119;north west;6846;yes;extended;bachelor;27/01/11;jan;unemployed;f;89216;suburban;divorced;95;13;20;0;5;personal auto;personal l3;offer1;call center;456;two-door car;large
1120;east;8286;no;basic;bachelor;22/02/11;feb;employed;f;40001;rural;divorced;70;6;7;0;2;personal auto;personal l3;offer1;branch;142;four-door car;medsize
1121;east;12298;yes;basic;high school or below;20/02/11;feb;medical leave;m;17101;suburban;single;113;1;88;0;2;corporate auto;corporate l2;offer1;call center;542;suv;medsize
1122;central;9275;no;premium;bachelor;05/02/11;feb;employed;f;52494;suburban;single;119;5;69;0;7;corporate auto;corporate l3;offer2;agent;571;two-door car;small
1123;west region;5618;no;basic;college;08/01/11;jan;medical leave;f;24518;urban;married;74;23;62;0;3;personal auto;personal l2;offer1;call center;241;two-door car;large
1124;west region;3237;no;extended;college;29/01/11;jan;disabled;f;27982;rural;divorced;87;15;74;0;1;personal auto;personal l3;offer4;call center;14;two-door car;medsize
1125;north west;2552;no;basic;college;06/02/11;feb;employed;m;33124;rural;single;67;35;7;0;1;personal auto;personal l1;offer1;call center;80;four-door car;large
1126;north west;2404;no;basic;bachelor;14/02/11;feb;employed;m;63455;urban;divorced;61;26;71;0;1;personal auto;personal l3;offer1;branch;287;suv;medsize
1127;central;10208;yes;extended;college;14/02/11;feb;employed;f;35482;suburban;married;129;21;59;0;3;personal auto;personal l2;offer1;branch;619;suv;medsize
1128;west region;2518;no;basic;doctor;10/02/11;feb;employed;f;39317;rural;single;64;22;46;0;1;personal auto;personal l2;offer2;branch;77;four-door car;medsize
1129;central;7573;no;premium;high school or below;20/02/11;feb;unemployed;m;86307;suburban;single;110;6;37;0;6;corporate auto;corporate l3;offer1;agent;1193;suv;medsize
1130;west region;7398;no;basic;bachelor;02/02/11;feb;employed;m;27383;suburban;married;188;33;25;0;1;corporate auto;corporate l2;offer4;branch;902;luxury car;medsize
1131;north west;5595;yes;basic;high school or below;05/02/11;feb;employed;f;74454;suburban;single;71;25;29;0;3;personal auto;personal l2;offer2;call center;340;four-door car;medsize
1132;central;6678;no;extended;bachelor;12/01/11;jan;employed;f;47137;rural;married;84;5;11;0;5;personal auto;personal l1;offer4;agent;161;four-door car;medsize
1133;central;7282;no;basic;high school or below;31/01/11;jan;employed;m;40858;suburban;married;184;10;62;0;1;personal auto;personal l3;offer3;agent;883;two-door car;medsize
1134;west region;5048;no;basic;high school or below;11/02/11;feb;employed;f;29401;suburban;single;65;30;56;0;4;personal auto;personal l3;offer1;branch;312;four-door car;small
1135;north west;9830;no;premium;college;10/02/11;feb;employed;f;25965;suburban;divorced;253;15;59;0;1;personal auto;personal l1;offer2;agent;1214;luxury suv;medsize
1136;central;10883;no;extended;high school or below;25/01/11;jan;employed;f;91123;rural;divorced;138;32;70;3;8;corporate auto;corporate l1;offer1;agent;103;suv;medsize
1137;central;2792;no;extended;college;26/02/11;feb;employed;m;22426;suburban;single;76;9;31;1;1;corporate auto;corporate l3;offer3;branch;528;four-door car;medsize
1138;west region;73225;no;extended;bachelor;09/02/11;feb;employed;f;39547;suburban;married;202;11;21;0;2;personal auto;personal l3;offer1;branch;969;luxury suv;medsize
1139;central;11160;no;extended;bachelor;15/01/11;jan;employed;f;33232;urban;married;94;21;81;0;2;special auto;special l2;offer3;branch;435;four-door car;medsize
1140;west region;15014;no;premium;college;19/01/11;jan;employed;m;32961;suburban;married;190;13;53;0;3;corporate auto;corporate l2;offer1;branch;912;suv;small
1141;north west;6978;no;extended;high school or below;10/02/11;feb;employed;m;53808;rural;married;88;26;91;0;7;personal auto;personal l2;offer4;branch;189;four-door car;medsize
1142;west region;6273;yes;extended;college;16/02/11;feb;retired;f;18577;suburban;divorced;86;21;76;0;6;personal auto;personal l2;offer1;branch;412;four-door car;medsize
1143;north west;7481;no;extended;college;24/01/11;jan;employed;m;61783;suburban;married;94;17;20;0;6;personal auto;personal l2;offer2;branch;658;four-door car;small
1144;north west;5394;no;basic;bachelor;07/02/11;feb;employed;f;29853;rural;single;69;8;36;0;6;personal auto;personal l2;offer1;agent;76;four-door car;medsize
1145;west region;2722;yes;basic;college;02/02/11;feb;medical leave;f;17576;suburban;married;71;29;70;0;1;corporate auto;corporate l3;offer2;call center;398;four-door car;medsize
1146;north west;23984;no;premium;doctor;01/01/11;jan;employed;f;79655;rural;married;296;12;17;0;9;personal auto;personal l3;offer2;branch;498;luxury car;medsize
1147;north west;2451;no;basic;bachelor;22/02/11;feb;employed;m;48791;rural;married;62;27;0;3;1;personal auto;personal l2;offer3;call center;69;two-door car;medsize
1148;west region;4971;no;basic;master;26/02/11;feb;employed;m;49161;urban;married;63;16;41;2;3;personal auto;personal l2;offer3;branch;171;two-door car;medsize
1149;west region;7455;no;extended;high school or below;16/01/11;jan;employed;f;74089;suburban;married;94;13;89;2;7;personal auto;personal l2;offer3;agent;648;suv;medsize
